Unnamed: 0,id,listing_url,last_scraped,source,name,description,neighborhood_overview,picture_url,host_id,host_url,host_name,host_since,host_location,host_about,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_thumbnail_url,host_picture_url,host_neighbourhood,host_listings_count,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms_text,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,has_availability,availability_30,availability_60
0,41339,https://www.airbnb.com/rooms/41339,2025-06-28,city scrape,Porto city flat near the sea,"Welcome to our apartment located near the sea in Porto. This cozy space offers the best of both worlds, making it perfect for both holiday stays and work stays. The highlight of the apartment is undoubtedly the balcony, where you can unwind while feeling the gentle ocean breeze.  Whether you're looking to relax, explore the vibrant city of Porto, or get some work done in a serene setting, this apartment is the ideal choice for your stay.","In the surrounds you have Serralves Museum and Pasteleira public park where you can have a picnic, take a walk or rest. There's also Porto's Youth Hostel. The river front is just 3 min apart. The tram passes close by.<br />There is a supermarket nearby, open every day from 8:00 to 21:00.<br />There are bus stops that take you to the city centre in less than 30 minutes.",https://a0.muscache.com/pictures/miso/Hosting-41339/original/8a4262cb-ccba-4deb-873b-1f5758925781.jpeg,180050,https://www.airbnb.com/users/show/180050,Paula,2010-07-25,"Oporto, Portugal","Olá, sou a Paula e adoro a minha cidade!
Adoro viajar mas é no Porto que me sinto em casa.
Adoro tricotar e aproveito o meu tempo livre para o fazer, é o meu ioga ;)


Hi, I'm Paula and I love my city!
I love to travel but where I fell at home is here in Porto.
I love to knit and use my free time to do it, it's my yoga ;)",within an hour,100%,100%,f,https://a0.muscache.com/im/pictures/user/b2ec55f3-85f3-4daf-9482-90ee70c12d86.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/b2ec55f3-85f3-4daf-9482-90ee70c12d86.jpg?aki_policy=profile_x_medium,,26,30,"['email', 'phone']",t,t,"Porto, Portugal",Lordelo do Ouro e Massarelos,PORTO,41.1501,-8.66035,Entire rental unit,Entire home/apt,5,1 bath,1.0,3.0,"[""Private entrance"", ""Hot water kettle"", ""Essentials"", ""Extra pillows and blankets"", ""Shampoo"", ""Elevator"", ""Bidet"", ""River view"", ""Microwave"", ""Cleaning products"", ""Private patio or balcony"", ""Ethernet connection"", ""Clothing storage: closet and wardrobe"", ""Books and reading material"", ""Wifi"", ""Siemens oven"", ""Bed linens"", ""Kitchen"", ""Conditioner"", ""Lockbox"", ""First aid kit"", ""Garden view"", ""Free washer \u2013 In unit"", ""Hangers"", ""Hot water"", ""Shower gel"", ""Dedicated workspace"", ""Coffee"", ""Long term stays allowed"", ""Freezer"", ""Baking sheet"", ""Paid pack \u2019n play/travel crib - available upon request"", ""Iron"", ""Siemens electric stove"", ""Dining table"", ""Portable fans"", ""Dishes and silverware"", ""Toaster"", ""Hair dryer"", ""Wine glasses"", ""Bathtub"", ""Self check-in"", ""Coffee maker"", ""Cooking basics"", ""Free street parking"", ""Body soap"", ""Paid crib - available upon request"", ""Drying rack for clothing"", ""TV with standard cable"", ""Room-darkening shades"", ""Heating"", ""SIEMENS refrigerator"", ""Fire extinguisher""]",$75.00,2,240,2.0,2.0,1125.0,1125.0,2.0,1125.0,,t,13,35
200,1745872,https://www.airbnb.com/rooms/1745872,2025-06-27,city scrape,Feel Porto Downtown Essence,"<H2><b>Feel Porto Downtown Essence</b></H2>Discover this elegant 110m² apartment, ideal for 8 people, where modern design meets comfort in a prime location in the heart of Porto.<br>It consists of three bedrooms with a queen-size bed, one double sofa bed, four single beds, and three bathrooms equipped with showers and hairdryers.<br><br><H3><b>Ideal for Families or Groups</b></H3>This apartment is designed to accommodate both families and groups.",,https://a0.muscache.com/pictures/prohost-api/Hosting-1745872/original/f03e096c-6e84-4814-b5ab-db1fa713dc9d.jpeg,2228036,https://www.airbnb.com/users/show/2228036,Rui,2012-04-26,"Porto, Portugal","Hello, I'm Rui Lé Costa and I'm the CEO of Feel Porto. 

Feel Porto was created with the goal of opening the doors of Porto to the world by offering the opportunity to welcome our travelers in the best accommodation apartments complemented with service excellency.

Headquartered downtown Porto it counts with a lot of properties not only in Porto but also in Matosinhos and Vila Nova de Gaia, so we can connect the city experience with the beach lifestyle. 

In order to add major value to our guests stay, we count with our partners to provide remarkable and customized Services and Experiences.

Porto is a city with character and that’s what Feel Porto wants to pass on!

",within an hour,99%,100%,t,https://a0.muscache.com/im/pictures/user/6a29f8d2-c8f9-4ff0-9e9f-b731191f9dfe.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/6a29f8d2-c8f9-4ff0-9e9f-b731191f9dfe.jpg?aki_policy=profile_x_medium,,91,93,"['email', 'phone', 'work_email']",t,t,,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",PORTO,41.1504,-8.6069,Entire rental unit,Entire home/apt,8,3 baths,3.0,6.0,"[""Paid parking garage off premises"", ""Hot water kettle"", ""Essentials"", ""Elevator"", ""Bidet"", ""Microwave"", ""Wifi"", ""Bed linens"", ""Kitchen"", ""55 inch HDTV"", ""Dishwasher"", ""Free washer \u2013 In unit"", ""Hangers"", ""Smoke alarm"", ""Hot water"", ""Shower gel"", ""Dedicated workspace"", ""Crib"", ""Coffee"", ""High chair"", ""Central air conditioning"", ""Pets allowed"", ""Trash compactor"", ""Freezer"", ""Iron"", ""Dining table"", ""Dishes and silverware"", ""Toaster"", ""Zanussi refrigerator"", ""Hair dryer"", ""Carbon monoxide alarm"", ""Wine glasses"", ""Smart lock"", ""Self check-in"", ""Zanussi oven"", ""Coffee maker"", ""Cooking basics"", ""Central heating"", ""Drying rack for clothing"", ""Zanussi induction stove""]",$356.00,1,1125,1.0,3.0,1125.0,1125.0,2.9,1125.0,,t,3,5
400,4376840,https://www.airbnb.com/rooms/4376840,2025-06-26,city scrape,Downtown Excellent Apartment,"Apartment for 4 people, with 2 bedrooms and 2 bathrooms. Comfortable and well equipped, is situated in the Centre of Vila Nova de Gaia, close to the MTR and within walking distance of the historic centre. Ideal for discovering Oporto and its culture.","The apartment stands out for its centrality (5 minutes from the historic centre) and close to cafes, restaurants, supermarket (just in front), shopping malls (El corte Ingles), stores and pastry shops.",https://a0.muscache.com/pictures/d0546877-4c27-4288-a823-9c945cae7e06.jpg,22724401,https://www.airbnb.com/users/show/22724401,Marcos,2014-10-19,"Vila Nova de Gaia, Portugal",,within an hour,100%,98%,t,https://a0.muscache.com/im/users/22724401/profile_pic/1439383454/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/22724401/profile_pic/1439383454/original.jpg?aki_policy=profile_x_medium,,8,8,"['email', 'phone']",t,t,"Vila Nova de Gaia, Porto District, Portugal",Mafamude e Vilar do Paraíso,VILA NOVA DE GAIA,41.12162,-8.60625,Entire condo,Entire home/apt,4,2 baths,2.0,2.0,"[""Essentials"", ""Shampoo"", ""Elevator"", ""Free parking on premises"", ""Microwave"", ""Refrigerator"", ""Ethernet connection"", ""Wifi"", ""Bed linens"", ""Kitchen"", ""Dishwasher"", ""First aid kit"", ""Oven"", ""Hangers"", ""Hot water"", ""Crib"", ""Washer"", ""Iron"", ""Dishes and silverware"", ""Hair dryer"", ""Carbon monoxide alarm"", ""Coffee maker"", ""Cooking basics"", ""TV with standard cable"", ""Heating"", ""Stove""]",$71.00,1,27,1.0,7.0,1125.0,1125.0,3.1,1125.0,,t,22,31
600,6752658,https://www.airbnb.com/rooms/6752658,2025-06-28,city scrape,Stylish Studio on Santa Catarina Street,"This cozy and fully equipped apartment is located in the heart of the lively city of Porto. With 45 m2 of area, it offers a comfortable and tasteful environment.<br><br>The apartment has 1 bedroom with a double bed, a bathroom with a shower, an independent and modern kitchen, fully equipped with a fridge, washing machine, kitchen utensils, coffee maker, oven, microwave and much more. There is also air conditioning and Wi-Fi internet.<br><br>",Porto city center.,https://a0.muscache.com/pictures/prohost-api/Hosting-6752658/original/33544027-ba1a-43f3-bd48-dc62b6c69d40.jpeg,16922131,https://www.airbnb.com/users/show/16922131,Rui,2014-06-17,Portugal,"Your Opo Apartments were born by the natural force of 2 people who decided to enter the adventure of Tourism and create an apartment where they could receive guests, like someone who invites friends to our home. Their taste was evident and their eagerness was remarkable. Quickly that apartment multiplied in many others, scattered around the most emblematic areas of the city. Today the team has grown and there are more than 15 people who give their best every day so that those who visit us have the best experience of their lives in the city of Oporto. This is the time when our home is your home. Our greatest determination is that our guests have the best time of their lives in the charming city of Porto, that it becomes unforgettable and contagious. Our goal is to provide all the comfort, meet the most complex request and satisfy the desire for fulfillment. Truly, this will be the most beautiful mission that we hope to accomplish.",within an hour,100%,99%,t,https://a0.muscache.com/im/pictures/user/45359f5e-c0e3-4761-ba5a-67f0c0bf6d99.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/45359f5e-c0e3-4761-ba5a-67f0c0bf6d99.jpg?aki_policy=profile_x_medium,,92,123,"['email', 'phone']",t,t,"Porto, Grande Porto, Portugal","Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",PORTO,41.14996,-8.605731,Entire rental unit,Entire home/apt,2,1 bath,0.0,1.0,"[""Cleaning available during stay"", ""Hot water kettle"", ""Essentials"", ""Microwave"", ""Cleaning products"", ""Refrigerator"", ""Air conditioning"", ""Wifi"", ""Bed linens"", ""Clothing storage: walk-in closet"", ""Kitchen"", ""Lockbox"", ""Oven"", ""Hot water"", ""Shower gel"", ""Crib"", ""Coffee"", ""High chair"", ""Pets allowed"", ""Electric stove"", ""Trash compactor"", ""Freezer"", ""Washer"", ""Iron"", ""Dining table"", ""Mini fridge"", ""Dishes and silverware"", ""Toaster"", ""Hair dryer"", ""Self check-in"", ""Coffee maker"", ""Cooking basics"", ""TV with standard cable"", ""Heating""]",$136.00,1,1125,1.0,2.0,1.0,1125.0,1.8,212.6,,t,7,29
800,8644833,https://www.airbnb.com/rooms/8644833,2025-06-27,city scrape,D. Luís - Uporto House,"Uporto House provides tailored accommodation for students, teachers, researchers and professionals as well as tourists. It is located at the campus of the University of Porto.","It is situated within walking distance (5 min.) from most colleges, universities and hospitals (IPO, S. João) and there is a bus service at the doorstep that takes 10 minutes to the city centre.<br />The surrounding area provides a variety of supermarkets, grocery stores, restaurants, bakeries and shops to choose from.",https://a0.muscache.com/pictures/6992ce02-17d5-494a-8993-9e2e98ae96a2.jpg,45287723,https://www.airbnb.com/users/show/45287723,Uporto House,2015-09-28,"Porto, Portugal",,within an hour,100%,88%,t,https://a0.muscache.com/im/pictures/user/769272b8-1b1b-4761-b871-659b123baf3a.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/769272b8-1b1b-4761-b871-659b123baf3a.jpg?aki_policy=profile_x_medium,,37,41,"['email', 'phone']",t,t,"Porto, Portugal",Paranhos,PORTO,41.1818,-8.61207,Private room in townhouse,Private room,1,4 shared baths,1.0,1.0,"[""Private entrance"", ""Essentials"", ""Air conditioning"", ""Wifi"", ""Kitchen"", ""First aid kit"", ""Hangers"", ""Smoke alarm"", ""Hot water"", ""Dedicated workspace"", ""Long term stays allowed"", ""Luggage dropoff allowed"", ""Iron"", ""Hair dryer"", ""Carbon monoxide alarm"", ""Smart lock"", ""Self check-in"", ""Smoking allowed"", ""Cooking basics"", ""Free street parking"", ""TV with standard cable"", ""Heating"", ""Fire extinguisher""]",$34.00,2,1125,2.0,2.0,1125.0,1125.0,2.0,1125.0,,t,13,19
1000,11541086,https://www.airbnb.com/rooms/11541086,2025-06-27,city scrape,Spacious Duplex in the centre w/ stunning views,"Spacious, bright and luxurious duplex apartment in the heart of the historic centre of Oporto.<br />It is equipped with two private intimate balconies facing breathtaking views of some of the cities most iconic sites - Estação de S. Bento, Sé do Porto, Igreja dos Congregados, and many more.<br /><br />Enjoy the very heart of the city in 5 minutes walks to main attractions: Douro River and Ribeira and the main streets for dinning and enjoying night life.","Right on one of the first Oporto UNESCO heritage sites and  tucked into a charming and private neighborhood fully renovated presenting it´s original architecture, the apartment provides modern style and elegance that can't be beat.<br /><br />You will be located right in front of the main train and metro Station, S. Bento, and next to the city’s cathedral, Sé do Porto. With  just  a five minute walk reach the Douro River and Ribeira - where you will learn all about the mercantile history of Oporto, be astonished by its landscape and be able to taste its renowned Port Wine -  the trendy restaurants, boutiques and the pulsating nightlife of Porto.<br /><br />Bon voyage!",https://a0.muscache.com/pictures/33cf2b16-c9a8-41dc-a42f-35d0ab849293.jpg,60887746,https://www.airbnb.com/users/show/60887746,Porto D'Alma,2016-02-29,"Porto, Portugal","Porto D'Alma owns apartments in the noblest areas of Porto. All of our apartments stand out for their good taste in decoration as well as the quality, quantity and variety of materials and equipment that equip them. Our check-in is in person because we like the contact with our guests and above all to suggest to them what to do and what to visit during their stay. All of our properties have a very high evaluation by our guests, the result of our commitment and dedication in the art of welcoming.",within an hour,100%,100%,t,https://a0.muscache.com/im/pictures/user/6e52d1c8-6c47-4d4d-9fd8-063944e704d1.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/6e52d1c8-6c47-4d4d-9fd8-063944e704d1.jpg?aki_policy=profile_x_medium,Ribeira,10,11,"['email', 'phone']",t,t,"Porto, Portugal","Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",PORTO,41.14569,-8.61102,Entire rental unit,Entire home/apt,3,1.5 baths,1.0,2.0,"[""Essentials"", ""Microwave"", ""Refrigerator"", ""Air conditioning"", ""Wifi"", ""Bed linens"", ""Kitchen"", ""First aid kit"", ""Oven"", ""Hangers"", ""Patio or balcony"", ""Hot water"", ""Clothing storage: closet"", ""Coffee"", ""Host greets you"", ""Long term stays allowed"", ""Freezer"", ""Washer"", ""Iron"", ""Dishes and silverware"", ""Toaster"", ""Hair dryer"", ""Carbon monoxide alarm"", ""Wine glasses"", ""Bathtub"", ""Coffee maker"", ""Cooking basics"", ""TV with standard cable"", ""Room-darkening shades"", ""Heating"", ""Paid parking off premises"", ""Fire extinguisher"", ""Stove""]",$119.00,2,31,2.0,2.0,1125.0,1125.0,2.0,1125.0,,t,12,29
1200,13327634,https://www.airbnb.com/rooms/13327634,2025-06-27,city scrape,BRA.com Pinheiros 202,"Modern 1 bedroom apartment with terrace in the center of town. 7 minutes' walk to Trindade subway station. Full kitchen, fully equipped. Bathroom. Towels and bed linen. WIFI/TV.","Fully renovated building, located in a residential area, quiet near restaurants, supermarkets, grocery stores, cafes, etc...",https://a0.muscache.com/pictures/6806e246-0acb-4217-96a9-481640a283f8.jpg,40592098,https://www.airbnb.com/users/show/40592098,Bárbara,2015-08-05,"Lisbon, Portugal",,within a few hours,100%,60%,f,https://a0.muscache.com/im/pictures/user/3728882d-0ea5-4044-9daa-b2ec75c7f873.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/3728882d-0ea5-4044-9daa-b2ec75c7f873.jpg?aki_policy=profile_x_medium,,24,24,"['email', 'phone']",t,t,"Porto, Porto District, Portugal","Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",PORTO,41.15069,-8.61351,Entire rental unit,Entire home/apt,4,1 bath,1.0,1.0,"[""Wifi"", ""Self check-in"", ""Kitchen"", ""Essentials"", ""Cooking basics"", ""Washer"", ""Shampoo"", ""First aid kit"", ""Hangers"", ""Keypad"", ""Heating"", ""TV"", ""Iron"", ""Crib"", ""Fire extinguisher"", ""Hair dryer""]",$90.00,2,30,2.0,2.0,30.0,30.0,2.0,30.0,,t,22,37
1400,14497493,https://www.airbnb.com/rooms/14497493,2025-06-27,city scrape,Santa Catarina Central Deluxe,"Splendid 3 room apartment for up to 6 people in the city`s busiest shopping street, the pedestrian Santa Catarina street and only 100m from the metro.<br />With all the necessary comfort, customised decoration and premium location, it is an obvious choice to start exploring Porto.","The house benefits from an outstanding location in the Santa Catarina Street, downtown`s most important shopping street. There are numerous clothing stores, with many of the international companies present, healthily coexisting with old bookstores, exquisite cafes like Café Majestic, as well as appealing pastry shops. Adjacent to this area, it`s the historical center, full of old historical buildings like the Porto Cathedral and amazing views to the Douro river and its bridges, of which stands the D. Luis I bridge. Also, a short walk away you will find the Clérigos Tower, probably the most iconic building of the city, and Lello Bookshop, also known as Harry Potter`s Library, recently classified as the most beautiful bookstore in the world. Finally the vibrant nightlife area is also nearby. There, you´ll find numerous restaurants, cafes and bars to suit all tastes.",https://a0.muscache.com/pictures/19cedfc2-a74c-4305-97e8-cdbd17fac71c.jpg,89503225,https://www.airbnb.com/users/show/89503225,Mavilde,2016-08-12,,"Upon arrival, we will welcome you, check you in, and share tips on what to do or what and where to eat in the surroundings, as well as answer any other questions you may have. During your stay, we are always on hand to assist you whenever you deem necessary.",within an hour,100%,100%,f,https://a0.muscache.com/im/pictures/user/db8aceb0-628a-4d50-a64c-731df11610a2.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/db8aceb0-628a-4d50-a64c-731df11610a2.jpg?aki_policy=profile_x_medium,,1,1,"['email', 'phone']",t,t,"Porto, Portugal","Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",PORTO,41.15185,-8.60446,Entire rental unit,Entire home/apt,6,1 bath,3.0,4.0,"[""Hot water kettle"", ""Essentials"", ""Extra pillows and blankets"", ""Shampoo"", ""Microwave"", ""Cleaning products"", ""Refrigerator"", ""Private patio or balcony"", ""Air conditioning"", ""Wifi"", ""Bed linens"", ""Kitchen"", ""Dishwasher"", ""Pack \u2019n play/Travel crib"", ""First aid kit"", ""Oven"", ""Hangers"", ""Smoke alarm"", ""Hot water"", ""Shower gel"", ""Dedicated workspace"", ""Coffee"", ""Host greets you"", ""Long term stays allowed"", ""Freezer"", ""Washer"", ""Clothing storage"", ""Luggage dropoff allowed"", ""Iron"", ""Dining table"", ""Dishes and silverware"", ""Toaster"", ""Hair dryer"", ""Carbon monoxide alarm"", ""Wine glasses"", ""Coffee maker"", ""Cooking basics"", ""Single level home"", ""TV with standard cable"", ""Room-darkening shades"", ""Heating"", ""Paid parking off premises"", ""Fire extinguisher"", ""Stove""]",$113.00,3,1125,3.0,4.0,1125.0,1125.0,3.0,1125.0,,t,4,10
1600,16591028,https://www.airbnb.com/rooms/16591028,2025-06-27,city scrape,H2OPorto Ribeira - Downtown apartment with balcony,"Renovated apartment with a balcony in the beautiful Porto historic district. A 3 min walk to the riverfront and Ribeira. Full kitchen, 1 bedroom with queen bed, 1 interior room with 2 single beds. A baby cot can be added upon request. Check-in time can be earlier, as long as agreed in advance, with self-check-in access codes (subject to availability). Please enquire with your arrival information.<br /><br />29591/AL",,https://a0.muscache.com/pictures/miso/Hosting-16591028/original/b9d48039-7f8e-46ce-9d2c-6f1b64136670.jpeg,109418189,https://www.airbnb.com/users/show/109418189,Maria,2017-01-02,"Porto, Portugal",,within an hour,100%,99%,t,https://a0.muscache.com/im/pictures/user/04eabccd-6411-4b8b-82bc-444045535140.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/04eabccd-6411-4b8b-82bc-444045535140.jpg?aki_policy=profile_x_medium,,5,5,"['email', 'phone']",t,t,,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",PORTO,41.14225,-8.61381,Entire rental unit,Entire home/apt,4,1 bath,2.0,3.0,"[""Essentials"", ""Extra pillows and blankets"", ""Shampoo"", ""Elevator"", ""Microwave"", ""Refrigerator"", ""Private patio or balcony"", ""Air conditioning"", ""Wifi"", ""Bed linens"", ""Kitchen"", ""Conditioner"", ""Dishwasher"", ""Lockbox"", ""Pack \u2019n play/Travel crib"", ""First aid kit"", ""Oven"", ""Hangers"", ""Smoke alarm"", ""Hot water"", ""High chair"", ""Freezer"", ""Iron"", ""Dishes and silverware"", ""Toaster"", ""Hair dryer"", ""Carbon monoxide alarm"", ""Wine glasses"", ""Self check-in"", ""Coffee maker"", ""Children\u2019s books and toys"", ""Cooking basics"", ""TV with standard cable"", ""Room-darkening shades"", ""Fire extinguisher"", ""Stove""]",$154.00,4,27,1.0,4.0,14.0,1125.0,4.0,851.1,,t,1,9
1800,18055259,https://www.airbnb.com/rooms/18055259,2025-06-26,city scrape,Centro | Poveiros - II Porto Downtown Apartment,"Modern and Comfortable 🏡 Studio in the Heart of Porto! <br /><br />Enjoy this stylish and cosy apartment, designed for your complete comfort. It is the perfect place to live Porto! Located at Rua Santo Ildefonso, it is located in Praça dos Poveiros, a few meters from Avenida dos Aliados. Central Zone with several restaurants and bars! :)<br /><br />🔹Ideal for groups of friends, youth, couples and small families <br />🔹Near the metro<br />🔹Supermercado next door<br />🔹Zone with several restaurants<br />🔹Paid parking 100 meters","Located in downtown Porto, the apartment is in a prime area of the city, super central! It is very close to the main sights, restaurants, bars and leisure areas! 10 minutes walking from Avenida dos Aliados, the most central point of the port's downtown. <br />Super Central Location - walking distance from several visitable points of the city:<br />- Supermercado Continente: 400 m | about 6 minutes walk (Campo 24 de Agosto)<br />- Avenida do Aliados: 800 m | about 10 minutes walk away<br />- Torre dos Clérigos: 1.1 km | about 15 minutes walk<br />- Livraria Lello: 1.1 km | about 15 minutes walk<br />Bolhão Market: 500 m | about 7 minutes walk<br />- Sé do Porto: 1 km | about 15 minutes walk",https://a0.muscache.com/pictures/b7afd2b9-e3d5-44d9-99e9-771acfac250a.jpg,13290472,https://www.airbnb.com/users/show/13290472,Pda,2014-03-19,Portugal,Sou a Isabel e faço parte da família airbnb. Tenho o foco e preocupação principal nos hospedes!  Estou atenta ao detalhe para proporcionar uma óptima estadia! Estou sempre em contacto para o que for necessário! Encontro-me sempre disponível para o ajudar na sua escolha e durante a sua estadia!,within an hour,100%,100%,f,https://a0.muscache.com/im/pictures/user/11ae4b69-a398-4827-883a-a428fb3473d0.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/11ae4b69-a398-4827-883a-a428fb3473d0.jpg?aki_policy=profile_x_medium,,5,8,"['email', 'phone']",t,t,"Porto, Portugal","Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",PORTO,41.146610260009766,-8.60326099395752,Entire rental unit,Entire home/apt,4,1 bath,0.0,2.0,"[""Coffee maker: drip coffee maker"", ""Essentials"", ""Laundromat nearby"", ""Microwave"", ""Paid parking lot off premises"", ""Wifi"", ""Bed linens"", ""22 inch HDTV with standard cable"", ""Kitchenette"", ""Lockbox"", ""First aid kit"", ""Garden view"", ""Hangers"", ""Hot water"", ""Outro electric stove"", ""Clothing storage: closet"", ""Crib"", ""Coffee"", ""Pets allowed"", ""Long term stays allowed"", ""Freezer"", ""Iron"", ""Dining table"", ""Mini fridge"", ""Portable fans"", ""Dishes and silverware"", ""Toaster"", ""Hair dryer"", ""Pack \u2019n play/Travel crib - available upon request"", ""Wine glasses"", ""Self check-in"", ""Portable heater"", ""Cooking basics"", ""Park view"", ""Room-darkening shades"", ""Fire extinguisher""]",$53.00,3,30,1.0,3.0,1125.0,1125.0,3.0,1125.0,,t,7,11
